objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
clt017,,"The Mignonette Club present ""The Rivals""",Edith de Nancrede; Richard Brinsley Sheridan,1920,"Historic playbill for the Hull House Theater's production of ""The Rivals"" by Richard Brinsley Sheridan and performed by the Mignonette Club",,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1750/rec/20"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1750/default.jpg?highlightTerms=theater,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1750/default.jpg?highlightTerms=theater,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1750/default.jpg?highlightTerms=theater,,
clt018,,"The Marionette Player present ""The Mob""",Edith de Nancrede; John Galsworthy,March 1924,"Historic playbill for the Hull House Theater's production of ""The Mob"" by John Galsworthy and performed by the Marionette Players",,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1750/rec/20"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1768/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1768/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1768/default.jpg,,
clt019,,The Hull House Players at the Fine Arts Theatre,The Chicago Theatre Society,1912,Announcement of Hull House Players performances in the Fine Arts Center,,Fine Arts Building,41.87640221,-87.62453743,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6840/rec/10"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5657/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5657/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/5657/default.jpg,,
clt020,,The Marionette Players present The Sunken Bell,Edith de Nancrede; Gerhart Hauptmann,October 1923,"Historic playbill for the Hull House Theater's production of ""The Sunken Bell"" by Gerhart Hauptmann and performed by the Marionette Players",,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1769/rec/30"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1769/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1769/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1769/default.jpg,,
clt021,,"The Marionette Players present ""The Mob""",Edith de Nancrede; John Galsworthy,March 1924,"Announcement for the Hull House Theater's production of ""The Mob"" by John Galsworthy and performed by the Marionette Players",,Hull House Theater,41.87164859,-87.64735001,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1758/rec/24"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1758/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1758/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1758/default.jpg,,
clt022,,"The Players' Club announces to its man patrons that it will repeat Galsworthy's the """"Silver Box""""",John Galsworthy; Lester Alden,April 1923,"Historic playbill for the Players' Club performances of ""The Silver Box"" by John Galsworthy, directed by Lester Alden",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6830/rec/44"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6828/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6828/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6828/default.jpg,,
clt023,,The Players' Club announces the presentation of Two One Act Plays of Elegance and Distiction,Gilbert Canaan; Frederick Fenn; Lester Alden,November 1922,"Historic playbill for the Players' Club's performances of ""Mary's Wedding"" by Gilbert Canaan and ""'Op O' Me Thumb"" by Frederick Fenn directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6830/rec/44"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6898/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6898/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6898/default.jpg,,
clt024,,"The Players' Club presents ""The Younger Generation""",Stanley Houghton; Lester Alden,February 1922,"Historic program for the Players' Club's performances of ""The Younger Generation"" by Stanley Houghton, directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6874/rec/11"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",multiple,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6874/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6874/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6874/default.jpg,,
clt024a,clt024,"The Players' Club presents ""The Younger Generation""",Stanley Houghton; Lester Alden,February 1922,"Historic program for the Players' Club's performances of ""The Younger Generation"" by Stanley Houghton, directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6874/rec/11"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6873/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6873/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6873/default.jpg,,
clt024b,clt024,"The Players' Club presents ""The Younger Generation""",Stanley Houghton; Lester Alden,February 1922,"Historic program for the Players' Club's performances of ""The Younger Generation"" by Stanley Houghton, directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6874/rec/11"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6874/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6874/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6874/default.jpg,,
clt025,,"The Players' Club announces a benefit performance ""The Silver Box""",John Galsworthy; Lester Alden,March 1923,"Historic program for the Players' Club's performances of ""The Silver Box"" by John Galsworthy, directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6703/rec/13"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6701/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6701/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6701/default.jpg,,
clt025a,clt025,"The Players' Club announces a benefit performance ""The Silver Box""",John Galsworthy; Lester Alden,March 1923,"Historic program for the Players' Club's performances of ""The Silver Box"" by John Galsworthy, directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6703/rec/13"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6701/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6701/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6701/default.jpg,,
clt025b,clt025,"The Players' Club announces a benefit performance ""The Silver Box""",John Galsworthy; Lester Alden,March 1923,"Historic program for the Players' Club's performances of ""The Silver Box"" by John Galsworthy, directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6703/rec/13"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6702/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6702/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6702/default.jpg,,
clt026,,"The Players' Club presents ""Mary's Wedding""",Gilbert Canaan; Frederick Fenn; Lester Alden,November 1922,"Historic playbill for the Players' Club's performances of ""Mary's Wedding"" by Gilbert Canaan and ""'Op O' Me Thumb"" by Frederick Fenn directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1778/rec/31"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1778/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1778/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1778/default.jpg,,
clt027,,Letter from The Players Club of Chicago,The Player's Club,November 1922,"Announcement for the Players' Club's 1922-1923 season featuring productions of ""The Game of Chess"" by Kenneth Sawyer Goodman and ""The Camberly Triangle"" by A. A. Milne",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1744/rec/18"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1744/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1744/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1744/default.jpg,,
clt028,,The Players' Club announces the presentation of two One Act Comedies,The Player's Club,1920,"Historic playbill for the Players' Club's performances of ""Spring in Bloomsbury"" by Harold Brighouse and ""Makeshifts"" by Gertrude Robins, directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/6738/rec/22"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6736/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6736/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/6736/default.jpg,,
clt029,,"The Players' Club present ""The Silver Box""",The Player's Club,April 1923,"Historic playbill for the Players' Club's performances of ""The Silver Box"" by John Galsworthy, directed by Lester Alden.",,Jewish People's Institute,41.869396,-87.65873,"	
Programs, bulletins, theatre bills, etc. of the little theater activities in Chicago during 1920-27, Newberry Library",,Image;StillImage,image/jpeg,,"Public domain, Accessed at <a href=""Public domain, Accessed at <a href=""https://collections.carli.illinois.edu/digital/collection/nby_chicago/id/1782/rec/35"">the Newberry Library</a>"">the Newberry Library</a>","The Newberry makes its collections available for any lawful purpose, commercial or non-commercial, without licensing or permission fees to the library, subject to the following terms and conditions: https://www.newberry.org/rights-and-reproductions",image,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1782/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1782/default.jpg,https://collections.carli.illinois.edu/digital/api/singleitem/image/nby_chicago/1782/default.jpg,,
